1902,physics,2,Hendrik Antoon,Lorentz,NL,Arnhem
1902,physics,3,Pieter,Zeeman,NL,Zonnemaire
1902,chemistry,161,Hermann Emil,Fischer,DE,Euskirchen
1902,medicine,294,Ronald,Ross,IN,Almora
1902,peace,464,Élie,Ducommun,CH,Geneva
1902,peace,465,Charles Albert,Gobat,CH,Tramelan
1902,literature,571,Christian Matthias Theodor,Mommsen,DE,Garding
1909,physics,13,Guglielmo,Marconi,IT,Bologna
1909,physics,14,Karl Ferdinand,Braun,DE,Fulda
1909,chemistry,168,Wilhelm,Ostwald,,Riga
1909,medicine,303,Emil Theodor,Kocher,CH,Berne
1909,peace,475,Auguste Marie François,Beernaert,BE,Ostend
1909,peace,476,Paul Henri Benjamin Balluet,"d'Estournelles de Constant, Baron de Constant de Rebecque",FR,La Flèche
1909,literature,579,Selma Ottilia Lovisa,Lagerlöf,SE,Mårbacka
1937,physics,44,Clinton Joseph,Davisson,US,"Bloomington, IL"
1937,physics,45,George Paget,Thomson,UK,Cambridge
1937,chemistry,196,Walter Norman,Haworth,UK,Chorley
1937,chemistry,197,Paul,Karrer,RU,Moscow
1937,medicine,332,Albert,von Szent-Györgyi Nagyrápolt,HU,Budapest
1937,peace,502,"Cecil of Chelwood, Viscount",(Lord Edgar Algernon Robert Gascoyne Cecil),UK,London
1937,literature,609,Roger,Martin du Gard,FR,Neuilly-sur-Seine
1944,physics,49,Isidor Isaac,Rabi,PL,Rymanow
1944,chemistry,202,Otto,Hahn,DE,Frankfurt-on-the-Main
1944,medicine,337,Joseph,Erlanger,US,"San Francisco, CA"
1944,medicine,338,Herbert Spencer,Gasser,US,"Platteville, WI"
1944,peace,482,Comité international de la Croix Rouge (International Committee of the Red Cross),,,
1944,literature,614,Johannes Vilhelm,Jensen,DK,Farsø
1992,physics,142,Georges,Charpak,PL,Dabrovica
1992,chemistry,277,Rudolph A.,Marcus,CA,Montreal
1992,medicine,446,Edmond H.,Fischer,CN,Shanghai
1992,medicine,447,Edwin G.,Krebs,US,"Lansing, IA"
1992,peace,554,Rigoberta,Menchú Tum,GT,Aldea Chimel
1992,literature,669,Derek,Walcott,LC,Castries
1992,economics,708,Gary S.,Becker,US,"Pottsville, PA"
1933,physics,39,Erwin,Schrödinger,AT,Vienna
1933,physics,40,Paul Adrien Maurice,Dirac,UK,Bristol
1933,medicine,325,Thomas Hunt,Morgan,US,"Lexington, KY"
1933,peace,498,Sir Norman,Angell (Ralph Lane),UK,Holbeach
1933,literature,606,Ivan Alekseyevich,Bunin,RU,Voronezh
1999,physics,158,Gerardus,'t Hooft,NL,Den Helder
1999,physics,159,Martinus J.G.,Veltman,NL,Waalwijk
1999,chemistry,292,Ahmed H.,Zewail,EG,Damanhur
1999,medicine,461,Günter,Blobel,PL,Waltersdorf (now Niegoslawice)
1999,peace,568,Médecins Sans Frontières,,,
1999,literature,676,Günter,Grass,PL,Danzig (now Gdansk)
1999,economics,720,Robert A.,Mundell,CA,"Kingston, ON"
1971,physics,93,Dennis,Gabor,HU,Budapest
1971,chemistry,240,Gerhard,Herzberg,DE,Hamburg
1971,medicine,397,Earl W.,"Sutherland, Jr.",US,"Burlingame, KS"
1971,peace,529,Willy,Brandt,DE,Lübeck
1971,literature,645,Pablo,Neruda,CL,Parral
1971,economics,680,Simon,Kuznets,BY,Pinsk
1928,physics,35,Owen Willans,Richardson,UK,Dewsbury
1928,chemistry,185,Adolf Otto Reinhold,Windaus,DE,Berlin
1928,medicine,318,Charles Jules Henri,Nicolle,FR,Rouen
1928,literature,601,Sigrid,Undset,DK,Kalundborg
1953,physics,60,Frits (Frederik),Zernike,NL,Amsterdam
1953,chemistry,216,Hermann,Staudinger,DE,Worms
1953,medicine,354,Hans Adolf,Krebs,DE,Hildesheim
1953,medicine,355,Fritz Albert,Lipmann,RU,Koenigsberg (now Kaliningrad)
1953,peace,514,George Catlett,Marshall,US,"Uniontown, PA"
1953,literature,624,Sir Winston Leonard Spencer,Churchill,UK,Woodstock
1976,physics,105,Burton,Richter,US,"Brooklyn, NY"
1976,physics,106,Samuel Chao Chung,Ting,US,"Ann Arbor, MI"
1976,chemistry,249,William N.,Lipscomb,US,"Cleveland, OH"
1976,medicine,409,Baruch S.,Blumberg,US,"New York, NY"
1976,medicine,410,D. Carleton,Gajdusek,US,"Yonkers, NY"
1976,peace,535,Betty,Williams,IE,Belfast
1976,peace,536,Mairead,Corrigan,IE,Belfast
1976,literature,652,Saul,Bellow,CA,Montreal
1976,economics,688,Milton,Friedman,US,"Brooklyn, NY"
1982,physics,121,Kenneth G.,Wilson,US,"Waltham, MA"
1982,chemistry,259,Aaron,Klug,LT,Zelvas
1982,medicine,425,Sune K.,Bergström,SE,Stockholm
1982,medicine,426,Bengt I.,Samuelsson,SE,Halmstad
1982,medicine,427,John R.,Vane,UK,Tardebigg
1982,peace,543,Alva,Myrdal,SE,Uppsala
1982,peace,544,Alfonso,García Robles,MX,Zamora
1982,literature,659,Gabriel,García Márquez,CO,Aracataca
1982,economics,696,George J.,Stigler,US,"Renton, WA"
1981,physics,118,Nicolaas,Bloembergen,NL,Dordrecht
1981,physics,119,Arthur Leonard,Schawlow,US,"Mount Verno, NY"
1981,physics,120,Kai M.,Siegbahn,SE,Lund
1981,chemistry,257,Kenichi,Fukui,JP,Nara
1981,chemistry,258,Roald,Hoffmann,,Zloczov
1981,medicine,422,Roger W.,Sperry,US,"Hartford, CT"
1981,medicine,423,David H.,Hubel,CA,"Windsor, ON"
1981,medicine,424,Torsten N.,Wiesel,SE,Uppsala
1981,peace,515,Office of the United Nations High Commissioner for Refugees (UNHCR),,,
1981,literature,658,Elias,Canetti,BG,Ruse
1981,economics,695,James,Tobin,US,"Champaign, IL"
1954,physics,61,Max,Born,PL,Breslau (now Wroclaw)
1954,physics,62,Walther,Bothe,DE,Oranienburg
1954,chemistry,217,Linus Carl,Pauling,US,"Portland, OR"
1954,medicine,356,John Franklin,Enders,US,"West Hartford, CT"
1954,medicine,357,Thomas Huckle,Weller,US,"Ann Arbor, MI"
1954,medicine,358,Frederick Chapman,Robbins,US,"Auburn, AL"
1954,peace,515,Office of the United Nations High Commissioner for Refugees (UNHCR),,,
1954,literature,625,Ernest Miller,Hemingway,US,"Oak Park, IL"
1965,physics,84,Sin-Itiro,Tomonaga,JP,Kyoto
1965,physics,85,Julian,Schwinger,US,"New York, NY"
1965,physics,86,Richard P.,Feynman,US,"New York, NY"
1965,chemistry,231,Robert Burns,Woodward,US,"Boston, MA"
1965,medicine,380,François,Jacob,FR,Nancy
1965,medicine,381,André,Lwoff,FR,Ainay-le-Château
1965,medicine,382,Jacques,Monod,FR,Paris
1965,peace,525,United Nations Children's Fund (UNICEF),,,
1965,literature,638,Mikhail Aleksandrovich,Sholokhov,RU,Veshenskaya
1983,physics,122,Subramanyan,Chandrasekhar,PK,Lahore
1983,physics,123,William Alfred,Fowler,US,"Pittsburgh, PA"
1983,chemistry,260,Henry,Taube,CA,Neudorf
1983,medicine,428,Barbara,McClintock,US,"Hartford, CT"
1983,peace,545,Lech,Walesa,PL,Popowo
1983,literature,660,William,Golding,UK,St. Columb Minor
1983,economics,697,Gerard,Debreu,FR,Calais
2003,literature,763,John M.,Coetzee,ZA,Cape Town
2003,medicine,764,Paul C.,Lauterbur,US,"Sidney, OH"
2003,medicine,765,Sir Peter,Mansfield,UK,London
2003,physics,766,Alexei A.,Abrikosov,RU,Moscow
2003,physics,767,Vitaly L.,Ginzburg,RU,Moscow
2003,physics,768,Anthony J.,Leggett,UK,London
2003,chemistry,769,Peter,Agre,US,"Northfield, MN"
2003,chemistry,770,Roderick,MacKinnon,US,"Burlington, MA"
2003,economics,771,Robert F.,Engle III,US,"Syracuse, NY"
2003,economics,772,Clive W.J.,Granger,UK,Swansea
2003,peace,773,Shirin,Ebadi,IR,Hamadan
1952,physics,58,Felix,Bloch,CH,Zurich
1952,physics,59,Edward Mills,Purcell,US,"Taylorville, IL"
1952,chemistry,214,Archer John Porter,Martin,UK,London
1952,chemistry,215,Richard Laurence Millington,Synge,UK,Liverpool
1952,medicine,353,Selman Abraham,Waksman,UA,Priluka (now Nova Pryluka)
1952,peace,513,Albert,Schweitzer,FR,Kaysersberg
1952,literature,623,François,Mauriac,FR,Bordeaux
1945,physics,50,Wolfgang,Pauli,AT,Vienna
1945,chemistry,203,Artturi Ilmari,Virtanen,FI,Helsinki
1945,medicine,339,Sir Alexander,Fleming,GB,Lochfield
1945,medicine,340,Ernst Boris,Chain,DE,Berlin
1945,medicine,341,Sir Howard Walter,Florey,AU,Adelaide
1945,peace,505,Cordell,Hull,US,"Olympus, TN"
1945,literature,615,Gabriela,Mistral,CL,Vicuña
1972,physics,66,John,Bardeen,US,"Madison, WI"
1972,physics,95,Leon Neil,Cooper,US,"New York, NY"
1972,physics,96,John Robert,Schrieffer,US,"Oak Park, IL"
1972,chemistry,241,Christian B.,Anfinsen,US,"Monessen, PA"
1972,chemistry,242,Stanford,Moore,US,"Chicago, IL"
1972,chemistry,243,William H.,Stein,US,"New York, NY"
1972,medicine,398,Gerald M.,Edelman,US,"New York, NY"
1972,medicine,399,Rodney R.,Porter,UK,Newton-le-Willows
1972,literature,647,Heinrich,Böll,DE,Cologne
1972,economics,681,John R.,Hicks,UK,Warwick
1972,economics,682,Kenneth J.,Arrow,US,"New York, NY"
1924,physics,29,Karl Manne Georg,Siegbahn,SE,Lund
1924,medicine,315,Willem,Einthoven,ID,Semarang
1924,literature,594,Wladyslaw Stanislaw,Reymont,PL,Kobiele Wielkie
1988,physics,132,Leon M.,Lederman,US,"New York, NY"
1988,physics,133,Melvin,Schwartz,US,"New York, NY"
1988,physics,134,Jack,Steinberger,DE,Bad Kissingen
1988,chemistry,270,Johann,Deisenhofer,DE,Zusamaltheim
1988,chemistry,271,Robert,Huber,DE,Munich
1988,chemistry,272,Hartmut,Michel,,Ludwigsburg
1988,medicine,437,Sir James W.,Black,GB,Uddingston
1988,medicine,438,Gertrude B.,Elion,US,"New York, NY"
1988,medicine,439,George H.,Hitchings,US,"Hoquiam, WA"
1988,peace,550,United Nations Peacekeeping Forces,,,
1988,literature,665,Naguib,Mahfouz,EG,Cairo
1988,economics,702,Maurice,Allais,FR,Paris
1978,physics,110,Pyotr Leonidovich,Kapitsa,,Kronshtadt
1978,physics,111,Arno Allan,Penzias,DE,Munich
1978,physics,112,Robert Woodrow,Wilson,US,"Houston, TX"
1978,chemistry,251,Peter D.,Mitchell,UK,Mitcham
1978,medicine,414,Werner,Arber,CH,Gränichen
1978,medicine,415,Daniel,Nathans,US,"Wilmington, DE"
1978,medicine,416,Hamilton O.,Smith,US,"New York, NY"
1978,peace,538,Mohamed Anwar,al-Sadat,EG,Mit Abu al-Kawm
1978,peace,539,Menachem,Begin,BY,Brest Litovsk
1978,literature,654,Isaac Bashevis,Singer,PL,Leoncin
1978,economics,691,Herbert A.,Simon,US,"Milwaukee, WI"
2009,medicine,835,Elizabeth H.,Blackburn,AU,"Hobart, Tasmania"
2009,medicine,836,Carol W.,Greider,US,"San Diego, CA"
2009,medicine,837,Jack W.,Szostak,UK,London
2009,physics,838,Charles Kuen,Kao,CN,Shanghai
2009,physics,839,Willard S.,Boyle,CA,"Amherst, NS"
2009,physics,840,George E.,Smith,US,"White Plains, NY"
2009,chemistry,841,Venkatraman,Ramakrishnan,IN,"Chidambaram, Tamil Nadu"
2009,chemistry,842,Thomas A.,Steitz,US,"Milwaukee, WI"
2009,chemistry,843,Ada E.,Yonath,IL,Jerusalem
2009,literature,844,Herta,Müller,RO,"Nitzkydorf, Banat"
2009,peace,845,Barack H.,Obama,US,"Honolulu, HI"
2009,economics,846,Elinor,Ostrom,US,"Los Angeles, CA"
2009,economics,847,Oliver E.,Williamson,US,"Superior, WI"
1995,physics,147,Martin L.,Perl,US,"New York, NY"
1995,physics,148,Frederick,Reines,US,"Paterson, NJ"
1995,chemistry,281,Paul J.,Crutzen,NL,Amsterdam
1995,chemistry,282,Mario J.,Molina,MX,Mexico City
1995,chemistry,283,F. Sherwood,Rowland,US,"Delaware, OH"
1995,medicine,452,Edward B.,Lewis,US,"Wilkes-Barre, PA"
1995,medicine,453,Christiane,Nüsslein-Volhard,DE,Magdeburg
1995,medicine,454,Eric F.,Wieschaus,US,"South Bend, IN"
1995,peace,560,Joseph,Rotblat,PL,Warsaw
1995,peace,561,Pugwash Conferences on Science and World Affairs,,,
1995,literature,672,Seamus,Heaney,IE,Casteldàwson
1995,economics,714,Robert E.,Lucas Jr.,US,"Yakima, WA"
1903,physics,4,Antoine Henri,Becquerel,FR,Paris
1903,physics,5,Pierre,Curie,FR,Paris
1903,physics,6,Marie,"Curie, née Sklodowska",PL,Warsaw
1903,chemistry,162,Svante August,Arrhenius,SE,Vik
1903,medicine,295,Niels Ryberg,Finsen,,Thorshavn
1903,peace,466,William Randal,Cremer,UK,Fareham
1903,literature,572,Bjørnstjerne Martinus,Bjørnson,NO,Kvikne
1912,physics,17,Nils Gustaf,Dalén,SE,Stenstorp
1912,chemistry,172,Victor,Grignard,FR,Cherbourg
1912,chemistry,173,Paul,Sabatier,FR,Carcassonne
1912,medicine,306,Alexis,Carrel,FR,Sainte-Foy-lès-Lyon
1912,peace,480,Elihu,Root,US,"Clinton, NY"
1912,literature,582,Gerhart Johann Robert,Hauptmann,DE,Bad Salzbrunn
1934,chemistry,192,Harold Clayton,Urey,US,"Walkerton, IN"
1934,medicine,326,George Hoyt,Whipple,US,"Ashland, NH"
1934,medicine,327,George Richards,Minot,US,"Boston, MA"
1934,medicine,328,William Parry,Murphy,US,"Stoughton, WI"
1934,peace,499,Arthur,Henderson,GB,Glasgow
1934,literature,607,Luigi,Pirandello,IT,"Agrigento, Sicily"
2010,medicine,848,Robert G.,Edwards,UK,Batley
2010,physics,849,Andre,Geim,RU,Sochi
2010,physics,850,Konstantin,Novoselov,RU,Nizhny Tagil
2010,chemistry,851,Richard F.,Heck,US,"Springfield, MA"
2010,chemistry,852,Ei-ichi,Negishi,CN,Changchun
2010,chemistry,853,Akira,Suzuki,JP,Mukawa
2010,literature,854,Mario,Vargas Llosa,PE,Arequipa
2010,peace,855,Liu,Xiaobo,CN,
2010,economics,856,Peter A.,Diamond,US,"New York, NY"
2010,economics,857,Dale T.,Mortensen,US,"Enterprise, OR"
2010,economics,858,Christopher A.,Pissarides,CY,Nicosia
2005,medicine,789,Barry J.,Marshall,AU,Kalgoorlie
2005,medicine,790,J. Robin,Warren,AU,Adelaide
2005,physics,791,Roy J.,Glauber,US,"New York, NY"
2005,physics,792,John L.,Hall,US,"Denver, CO"
2005,physics,793,Theodor W.,Hänsch,DE,Heidelberg
2005,chemistry,794,Yves,Chauvin,BE,Menin
2005,chemistry,795,Robert H.,Grubbs,US,"Possum Trot, KY"
2005,chemistry,796,Richard R.,Schrock,US,"Berne, IN"
2005,peace,797,International Atomic Energy Agency (IAEA),,,
2005,peace,798,Mohamed,ElBaradei,EG,Cairo
2005,economics,799,Robert J.,Aumann,DE,Frankfurt-on-the-Main
2005,economics,800,Thomas C.,Schelling,US,"Oakland, CA"
2005,literature,801,Harold,Pinter,UK,London
2006,medicine,802,Andrew Z.,Fire,US,"Stanford, CA"
2006,medicine,803,Craig C.,Mello,US,"New Haven, CT"
2006,physics,804,John C.,Mather,US,"Roanoke, VA"
2006,physics,805,George F.,Smoot,US,"Yukon, FL"
2006,chemistry,806,Roger D.,Kornberg,US,"St. Louis, MO"
2006,economics,807,Edmund S.,Phelps,US,"Evanston, IL"
2006,literature,808,Orhan,Pamuk,TR,Istanbul
2006,peace,809,Muhammad,Yunus,BD,Chittagong
2006,peace,810,Grameen Bank,,,
1935,physics,41,James,Chadwick,UK,Manchester
1935,chemistry,193,Frédéric,Joliot,FR,Paris
1935,chemistry,194,Irène,Joliot-Curie,FR,Paris
1935,medicine,329,Hans,Spemann,,Stuttgart
1935,peace,500,Carl,von Ossietzky,DE,Hamburg
2012,medicine,874,Sir John B.,Gurdon,UK,Dippenhall
2012,medicine,875,Shinya,Yamanaka,JP,Osaka
2012,physics,876,Serge,Haroche,,Casablanca
2012,physics,877,David J.,Wineland,US,"Milwaukee, WI"
2012,chemistry,878,Robert J.,Lefkowitz,US,"New York, NY"
2012,chemistry,879,Brian K.,Kobilka,US,"Little Falls, MN"
2012,literature,880,Mo,Yan,CN,Gaomi
2012,peace,881,European Union (EU),,,
2012,economics,882,Alvin E.,Roth,US,"New York, NY"
2012,economics,883,Lloyd S.,Shapley,US,"Cambridge, MA"
1960,physics,74,Donald Arthur,Glaser,US,"Cleveland, OH"
1960,chemistry,224,Willard Frank,Libby,US,"Grand Valley, CO"
1960,medicine,369,Sir Frank Macfarlane,Burnet,AU,Traralgon
1960,medicine,370,Peter Brian,Medawar,BR,Rio de Janeiro
1960,peace,519,Albert John,Lutuli,ZW,Bulawayo
1960,literature,631,Saint-John,Perse,GP,Saint-Léger-les-Feuilles
1950,physics,55,Cecil Frank,Powell,UK,Tonbridge
1950,chemistry,210,Otto Paul Hermann,Diels,DE,Hamburg
1950,chemistry,211,Kurt,Alder,PL,Königshütte (now Chorzów)
1950,medicine,349,Edward Calvin,Kendall,US,"South Norwalk, CT"
1950,medicine,350,Tadeus,Reichstein,PL,Wloclawek
1950,medicine,351,Philip Showalter,Hench,US,"Pittsburgh, PA"
1950,peace,511,Ralph,Bunche,US,"Detroit, MI"
1950,literature,621,Earl (Bertrand Arthur William),Russell,UK,Trelleck
1979,physics,113,Sheldon Lee,Glashow,US,"New York, NY"
1979,physics,114,Abdus,Salam,PK,Jhang Maghi&#257;na
1979,physics,115,Steven,Weinberg,US,"New York, NY"
1979,chemistry,252,Herbert C.,Brown,UK,London
1979,chemistry,253,Georg,Wittig,DE,Berlin
1979,medicine,417,Allan M.,Cormack,ZA,Johannesburg
1979,medicine,418,Godfrey N.,Hounsfield,UK,Newark
1979,peace,540,Mother Teresa,,MK,Uskup (now Skopje)
1979,literature,655,Odysseus,Elytis,GR,Iráklion
